gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalServiceCost
1,0,1,-1.276681743030352,1,0,-0.14988113024128333,1.0,0.0,0.0,0.0,1.0,-0.976299301287248
0,0,0,-0.09608857518970366,1,0,-0.31512520831638635,1.0,0.0,0.0,1.0,0.0,-0.2738511580182909
0,1,0,0.5552731725844472,1,1,1.172071494359541,0.0,1.0,1.0,0.0,0.0,1.0294331329524156
1,0,0,0.43314284487679394,1,0,0.0484117634488403,1.0,0.0,0.0,1.0,0.0,0.2509968886505902
1,0,0,-1.276681743030352,1,1,-1.4718337548421077,0.0,1.0,0.0,0.0,1.0,-0.9939709526902406
1,0,1,-0.9102907599073923,1,1,-1.3065896767670044,0.0,1.0,1.0,0.0,0.0,-0.892358957123033
1,0,1,1.6137360127174423,0,0,0.015362947833819699,1.0,0.0,1.0,0.0,0.0,1.0647764357584009
1,0,0,1.3694753573021359,0,1,-0.24902757708634515,0.0,1.0,1.0,0.0,0.0,0.65921203605972
0,0,0,1.4101854665380202,1,1,-1.438784939227087,1.0,0.0,0.0,0.0,1.0,-0.38120644029147116
0,0,1,0.10746197098971849,1,1,-0.4803692863914894,0.0,1.0,1.0,0.0,0.0,-0.22967202951080934
1,0,1,1.6137360127174423,1,1,1.4364620192797057,0.0,1.0,0.0,0.0,1.0,2.4325622543500307
0,0,0,0.18888218946148735,0,0,-0.8108574425416955,0.0,1.0,0.0,1.0,0.0,-0.3489556764810096
1,0,1,1.6137360127174423,1,1,1.3703643880496645,0.0,1.0,0.0,0.0,1.0,2.3689443092992573
1,0,0,-0.8288705414356234,1,0,0.6763392601342318,0.0,1.0,0.0,1.0,0.0,-0.5521796676154248
1,0,1,0.718113609527985,1,0,0.37889991959904634,1.0,0.0,1.0,0.0,0.0,0.676000104892563
1,1,0,1.2473450295944826,0,0,-0.9430527050017778,1.0,0.0,1.0,0.0,0.0,-0.0008241438420547704
0,0,0,-0.5438997767844324,1,1,0.742436891364273,1.0,0.0,0.0,0.0,1.0,-0.27252578416306644
1,0,0,-0.5846098860203168,1,0,0.18060702590892272,1.0,0.0,1.0,0.0,0.0,-0.4461497591974691
1,1,1,-0.1775087936614725,1,1,-0.4473204707764688,0.0,1.0,0.0,1.0,0.0,-0.3719288233049
1,0,1,-0.1775087936614725,1,1,0.9407297850543966,1.0,0.0,0.0,0.0,1.0,0.14761772794308334
1,0,1,0.10746197098971849,1,1,0.8415833382093348,0.0,1.0,1.0,0.0,0.0,0.38883576959393273
0,0,0,-1.276681743030352,1,0,-1.4718337548421077,0.0,1.0,0.0,0.0,1.0,-0.9939709526902406
1,0,0,-0.7474503229638545,0,1,-1.1082967830768808,1.0,0.0,0.0,0.0,1.0,-0.8110693606692668
0,0,1,0.10746197098971849,1,0,1.4034132036646851,1.0,0.0,1.0,0.0,0.0,0.6517015842134481
0,0,0,-1.276681743030352,1,1,-1.4718337548421077,1.0,0.0,0.0,1.0,0.0,-0.9939709526902406
0,0,0,1.0437944834150603,1,1,1.2381691255895821,0.0,1.0,1.0,0.0,0.0,1.610830464110873
